Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureAttributesUsed,measureNumIterations
MLSH-dataset,1,1,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.02111040518E7,443.0,50.0,43.0,7.0,0.0,86.0,14.0,0.0,0.0,0.5,0.5,206.6691436002229,144.09612371731046,29.212677222651397,50.0,-20.787322777348603,0.5842535444530279,1.0,-0.41574645554697204,-65.53373768473845,-1.3106747536947692,-224.33321391688077,1.0,43.0,1.0,7.0,0.0,0.0,0.0,0.0,0.86,1.0,0.924731182795699,NaN,0.5,0.86,0.86,0.86,0.14,0.14,NaN,0.86,NaN,NaN,0.5,0.7591999999999999,NaN,0.86,0.016,0.0,0.015625,0.0,15.625,0.0,8554.0,92859.0,12294.0,100.0,100.0,?,0.0,0.0
MLSH-dataset,1,2,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.02111040518E7,443.0,50.0,42.0,8.0,0.0,84.0,16.0,0.0,-0.036269430051813795,0.22989602340757906,0.33376298547428174,95.02482854948231,96.18790489432199,29.212677222651397,25.835922581998577,3.3767546406528197,0.5842535444530279,0.5167184516399715,0.06753509281305639,-2.2057683942983215,-0.04411536788596643,-7.550723192833478,0.9767441860465116,42.0,1.0,7.0,0.0,0.0,0.023255813953488372,1.0,0.8571428571428571,0.9767441860465116,0.9130434782608695,-0.0576390417704235,0.8305647840531561,0.9704964085540092,0.84,0.8632558139534884,0.13674418604651162,0.16,0.7371428571428571,0.84,0.7852173913043479,-0.0576390417704235,0.8305647840531561,0.8940829553124918,0.45652173913043476,0.84,0.047,0.0,0.046875,0.0,46.875,0.0,8554.0,92859.0,12294.0,100.0,99.0,?,61.904761904761905,75.0
MLSH-dataset,1,3,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.02111040518E7,443.0,50.0,43.0,7.0,0.0,86.0,14.0,0.0,0.0,0.5,0.5,206.6691436002229,144.09612371731046,29.212677222651397,50.0,-20.787322777348603,0.5842535444530279,1.0,-0.41574645554697204,-65.53373768473845,-1.3106747536947692,-224.33321391688077,1.0,43.0,1.0,7.0,0.0,0.0,0.0,0.0,0.86,1.0,0.924731182795699,NaN,0.5,0.86,0.86,0.86,0.14,0.14,NaN,0.86,NaN,NaN,0.5,0.7591999999999999,NaN,0.86,0.015,0.0,0.0,0.0,0.0,0.0,8554.0,92859.0,12294.0,100.0,100.0,?,0.0,0.0
MLSH-dataset,1,4,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.02111040518E7,444.0,49.0,43.0,6.0,0.0,87.75510204081633,12.244897959183673,0.0,0.0,0.2199216727854838,0.3208355593387304,95.28485799076054,97.67316026110137,26.414655490557728,25.053013273426483,1.3616422171312443,0.5390746018481168,0.511285985171969,0.027788616676147845,-2.2586978803067757,-0.04609587510830154,-8.550926894027361,1.0,43.0,1.0,6.0,0.0,0.0,0.0,0.0,0.8775510204081632,1.0,0.9347826086956522,NaN,0.627906976744186,0.9174505987579384,0.8775510204081632,0.8775510204081632,0.12244897959183673,0.12244897959183673,NaN,0.8775510204081632,NaN,NaN,0.627906976744186,0.8363583839087024,NaN,0.8775510204081632,0.022,0.0,0.015625,0.0,15.625,0.0,8554.0,93064.0,12089.0,100.0,100.0,?,52.38095238095239,41.0
MLSH-dataset,1,5,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.02111040518E7,444.0,49.0,42.0,7.0,0.0,85.71428571428571,14.285714285714286,0.0,0.0,0.2379738813325857,0.35149983491074105,97.62870663867714,100.44839265647977,28.992711190747322,28.68844171839711,0.3042694723502102,0.5916879834846392,0.5854784024162676,0.006209581068371636,-3.9074993875847843,-0.07974488546091396,-13.477523236363682,1.0,42.0,1.0,7.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.923076923076923,NaN,0.6156462585034014,0.9049568159511472,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,NaN,0.8571428571428571,NaN,NaN,0.6156462585034014,0.8089632599152116,NaN,0.8571428571428571,0.032,0.0,0.03125,0.0,31.25,0.0,8554.0,93064.0,12089.0,100.0,100.0,?,33.33333333333333,17.0
MLSH-dataset,1,6,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.02111040518E7,444.0,49.0,41.0,8.0,0.0,83.6734693877551,16.3265306122449,0.0,-0.03703703703703688,0.22904190867410495,0.36093806827993546,93.96436778982341,103.1455642545634,28.992711190747322,30.862210071788354,-1.8694988810410322,0.5916879834846392,0.6298410218732318,-0.03815303838859249,-2.6170948369288753,-0.05341009871283419,-9.026733718383985,0.9761904761904762,41.0,1.0,7.0,0.0,0.0,0.023809523809523808,1.0,0.8541666666666666,0.9761904761904762,0.9111111111111111,-0.05892556509887897,0.5204081632653061,0.8890192356337443,0.8367346938775511,0.8605442176870748,0.13945578231292516,0.16326530612244897,0.7321428571428571,0.8367346938775511,0.780952380952381,-0.05892556509887897,0.5204081632653061,0.7897703995532789,0.45555555555555555,0.8367346938775511,0.031,0.0,0.03125,0.0,31.25,0.0,8554.0,93064.0,12089.0,100.0,96.93877551020408,?,57.14285714285714,49.0
MLSH-dataset,1,7,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.02111040518E7,444.0,49.0,41.0,8.0,0.0,83.6734693877551,16.3265306122449,0.0,-0.03703703703703688,0.2505069579387343,0.3657250808888471,102.77039719904455,104.51355272691525,28.992711190747322,31.523309898539164,-2.5305987077918424,0.5916879834846392,0.6433328550722278,-0.05164487158758862,-8.39992585821686,-0.17142705833095634,-28.972543488439246,0.9761904761904762,41.0,1.0,7.0,0.0,0.0,0.023809523809523808,1.0,0.8541666666666666,0.9761904761904762,0.9111111111111111,-0.05892556509887897,0.5204081632653061,0.8888004066563204,0.8367346938775511,0.8605442176870748,0.13945578231292516,0.16326530612244897,0.7321428571428571,0.8367346938775511,0.780952380952381,-0.05892556509887897,0.5204081632653061,0.7915773272905595,0.45555555555555555,0.8367346938775511,0.016,0.0,0.015625,0.0,15.625,0.0,8554.0,93064.0,12089.0,100.0,98.9795918367347,?,61.904761904761905,49.0
MLSH-dataset,1,8,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.02111040518E7,444.0,49.0,42.0,7.0,0.0,85.71428571428571,14.285714285714286,0.0,0.0,0.5,0.5,205.12483574244428,142.8854051695179,28.992711190747322,49.0,-20.007288809252678,0.5916879834846392,1.0,-0.40831201651536075,-63.82669917471361,-1.302585697443135,-220.1473975813726,1.0,42.0,1.0,7.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.923076923076923,NaN,0.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,NaN,0.8571428571428571,NaN,NaN,0.5,0.7551020408163265,NaN,0.8571428571428571,0.022,0.0,0.015625,0.0,15.625,0.0,8554.0,93064.0,12089.0,100.0,100.0,?,0.0,0.0
MLSH-dataset,1,9,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.02111040518E7,444.0,49.0,41.0,8.0,0.0,83.6734693877551,16.3265306122449,0.0,-0.03703703703703688,0.2330500863476845,0.3476009786742403,95.6087213636625,99.33421335037956,28.992711190747322,27.826554788550304,1.1661564021970179,0.5916879834846392,0.5678888732357205,0.02379911024891873,-3.013986559247723,-0.06150992978056577,-10.395669930343045,0.9761904761904762,41.0,1.0,7.0,0.0,0.0,0.023809523809523808,1.0,0.8541666666666666,0.9761904761904762,0.9111111111111111,-0.05892556509887897,0.7006802721088435,0.9470278460645368,0.8367346938775511,0.8605442176870748,0.13945578231292516,0.16326530612244897,0.7321428571428571,0.8367346938775511,0.780952380952381,-0.05892556509887897,0.7006802721088434,0.8467981240628772,0.45555555555555555,0.8367346938775511,0.031,0.0,0.03125,0.0,31.25,0.0,8554.0,93064.0,12089.0,100.0,100.0,?,33.33333333333333,19.0
MLSH-dataset,1,10,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.02111040518E7,444.0,49.0,42.0,7.0,0.0,85.71428571428571,14.285714285714286,0.0,0.1694915254237287,0.25021852452543475,0.36657930288173907,102.65206748599314,104.75766443803342,28.992711190747322,33.3581875603274,-4.36547636958008,0.5916879834846392,0.6807793379658653,-0.08909135448122611,-8.26069745575256,-0.16858566236229713,-28.492324851595328,0.9761904761904762,41.0,0.8571428571428571,6.0,0.14285714285714285,1.0,0.023809523809523808,1.0,0.8723404255319149,0.9761904761904762,0.9213483146067415,0.21053798026662973,0.35714285714285715,0.796740505512536,0.8571428571428571,0.738095238095238,0.26190476190476186,0.14285714285714285,0.8191489361702129,0.8571428571428571,0.8214731585518101,0.21053798026662973,0.35714285714285715,0.718127635331982,0.5717852684144819,0.8571428571428571,0.031,0.0,0.015625,0.0,15.625,0.0,8554.0,93064.0,12089.0,97.95918367346938,98.9795918367347,?,42.857142857142854,43.0
